id,predict_0,predict_1,predict_2
2,1,0,0
3,0,1,0
4,1,0,0
7,1,0,0
9,0,0,1
10,0,0,1
11,1,0,0
12,0,0,1
14,1,0,0
15,1,0,0
16,0,0,1
17,0,1,0
18,1,0,0
21,0,0,1
22,1,0,0
25,0,1,0
30,1,0,0
32,1,0,0
34,0,0,1
35,0,0,1
36,1,0,0
37,0,0,1
39,0,0,1
40,0,1,0
41,1,0,0
42,0,0,1
45,0,1,0
46,1,0,0
47,0,0,1
48,1,0,0
50,0,1,0
51,0,0,1
52,1,0,0
56,1,0,0
58,0,0,1
62,1,0,0
63,1,0,0
65,0,0,1
66,0,1,0
70,0,1,0
71,0,0,1
72,0,1,0
73,1,0,0
74,1,0,0
76,1,0,0
77,0,1,0
78,0,1,0
82,0,0,1
85,0,1,0
86,1,0,0
87,0,0,1
95,1,0,0
96,0,0,1
97,0,1,0
98,1,0,0
100,0,0,1
101,1,0,0
102,1,0,0
103,0,1,0
106,0,1,0
108,1,0,0
109,1,0,0
110,1,0,0
113,0,0,1
114,0,0,1
116,0,0,1
117,0,1,0
118,0,1,0
121,1,0,0
122,0,0,1
123,0,1,0
124,1,0,0
126,1,0,0
127,1,0,0
128,0,0,1
133,0,0,1
136,1,0,0
137,1,0,0
140,0,1,0
141,1,0,0
143,0,0,1
144,1,0,0
145,0,0,1
147,0,1,0
148,1,0,0
150,0,0,1
151,0,1,0
153,1,0,0
155,1,0,0
156,0,0,1
160,0,0,1
163,0,1,0
164,1,0,0
165,0,1,0
166,1,0,0
167,0,1,0
168,1,0,0
169,1,0,0
170,0,0,1
171,1,0,0
172,1,0,0
173,1,0,0
174,0,0,1
175,0,0,1
176,0,1,0
180,0,0,1
181,0,0,1
182,0,0,1
185,1,0,0
186,0,0,1
187,0,0,1
189,0,0,1
192,0,0,1
194,1,0,0
195,1,0,0
197,1,0,0
198,1,0,0
201,1,0,0
202,0,1,0
203,0,1,0
205,1,0,0
208,0,0,1
209,1,0,0
210,0,1,0
211,0,0,1
214,0,0,1
215,0,0,1
216,0,0,1
218,0,0,1
219,0,1,0
220,0,1,0
222,0,1,0
224,0,0,1
226,0,0,1
228,0,1,0
229,0,0,1
230,1,0,0
231,1,0,0
232,1,0,0
233,1,0,0
235,1,0,0
236,1,0,0
237,0,0,1
241,1,0,0
244,0,0,1
245,1,0,0
246,0,1,0
249,1,0,0
250,0,0,1
252,0,0,1
253,0,0,1
254,0,0,1
255,0,1,0
258,0,0,1
261,0,0,1
264,0,0,1
267,0,0,1
268,0,0,1
271,0,0,1
273,1,0,0
276,1,0,0
277,1,0,0
278,1,0,0
280,1,0,0
281,1,0,0
282,0,1,0
283,0,0,1
285,1,0,0
286,0,0,1
287,0,0,1
288,0,1,0
289,1,0,0
291,0,0,1
294,0,1,0
298,0,0,1
301,0,0,1
303,1,0,0
304,1,0,0
305,0,1,0
307,0,0,1
308,0,0,1
309,0,1,0
310,0,1,0
311,0,1,0
312,0,1,0
314,1,0,0
316,0,0,1
318,1,0,0
322,0,1,0
324,0,1,0
325,0,1,0
326,1,0,0
328,1,0,0
329,0,0,1
330,1,0,0
331,1,0,0
332,1,0,0
333,0,0,1
335,1,0,0
336,0,1,0
337,0,0,1
340,0,0,1
342,0,0,1
344,1,0,0
346,0,0,1
347,1,0,0
349,1,0,0
351,1,0,0
352,1,0,0
353,1,0,0
354,1,0,0
356,1,0,0
359,0,0,1
361,1,0,0
362,1,0,0
365,0,1,0
366,0,1,0
367,0,0,1
368,1,0,0
369,0,0,1
370,1,0,0
372,0,0,1
374,1,0,0
375,0,0,1
376,0,1,0
378,0,1,0
380,1,0,0
382,1,0,0
383,1,0,0
384,1,0,0
386,0,0,1
388,1,0,0
389,0,1,0
390,1,0,0
393,1,0,0
394,0,0,1
395,0,1,0
396,0,1,0
398,0,1,0
399,0,0,1
401,0,1,0
402,0,0,1
404,1,0,0
405,1,0,0
407,1,0,0
410,1,0,0
414,0,0,1
416,0,1,0
418,1,0,0
419,0,0,1
422,1,0,0
423,0,1,0
425,1,0,0
426,1,0,0
427,1,0,0
428,0,1,0
431,0,1,0
433,1,0,0
434,1,0,0
435,1,0,0
436,1,0,0
440,1,0,0
441,0,0,1
442,0,1,0
443,1,0,0
445,0,0,1
448,0,0,1
451,0,0,1
454,0,1,0
456,1,0,0
457,1,0,0
458,1,0,0
459,1,0,0
460,0,0,1
461,0,0,1
463,1,0,0
464,0,1,0
467,0,0,1
468,1,0,0
471,0,1,0
473,0,1,0
475,0,0,1
476,0,0,1
478,0,0,1
481,0,1,0
482,0,0,1
483,1,0,0
485,0,1,0
490,1,0,0
493,1,0,0
494,1,0,0
508,0,1,0
509,0,0,1
510,0,1,0
511,1,0,0
512,1,0,0
513,0,1,0
514,1,0,0
516,1,0,0
517,0,0,1
518,1,0,0
520,0,1,0
521,1,0,0
522,0,1,0
523,0,0,1
524,1,0,0
525,0,0,1
526,0,0,1
527,0,0,1
528,0,0,1
529,0,0,1
530,1,0,0
531,1,0,0
534,1,0,0
535,0,0,1
536,1,0,0
537,0,0,1
538,0,1,0
539,0,0,1
540,0,0,1
542,1,0,0
545,0,1,0
546,0,1,0
547,1,0,0
548,1,0,0
551,1,0,0
554,0,0,1
556,0,0,1
557,1,0,0
559,1,0,0
560,0,0,1
562,1,0,0
563,1,0,0
564,0,1,0
565,0,0,1
566,0,0,1
567,0,1,0
568,0,0,1
571,0,0,1
572,1,0,0
573,1,0,0
574,0,1,0
577,1,0,0
578,0,0,1
579,1,0,0
582,0,1,0
584,0,0,1
586,0,1,0
587,0,0,1
589,0,1,0
590,0,1,0
591,1,0,0
592,0,0,1
593,0,1,0
595,0,0,1
596,0,0,1
597,0,1,0
598,1,0,0
600,1,0,0
602,0,1,0
606,0,0,1
607,1,0,0
609,1,0,0
610,0,0,1
611,0,0,1
612,1,0,0
613,1,0,0
614,1,0,0
617,0,0,1
619,0,1,0
620,0,0,1
621,0,0,1
625,0,0,1
627,0,1,0
628,0,1,0
629,0,1,0
631,0,0,1
632,0,0,1
633,1,0,0
635,0,0,1
639,0,1,0
641,1,0,0
642,0,1,0
643,0,1,1
644,1,0,0
645,1,0,0
647,0,1,0
648,1,0,0
649,1,0,0
650,0,1,0
652,0,0,1
653,0,0,1
654,0,1,0
655,0,0,1
658,0,1,0
659,1,0,0
661,0,0,1
664,0,0,1
666,1,0,0
667,1,0,0
668,1,0,0
669,1,0,0
670,0,0,1
671,1,0,0
672,1,0,0
673,0,0,1
674,0,0,1
675,0,1,0
676,0,1,0
677,0,1,0
685,0,0,1
686,0,1,0
688,1,0,0
689,1,0,0
690,0,0,1
692,0,1,0
694,0,0,1
695,0,0,1
696,0,1,0
697,1,0,0
699,0,0,1
700,0,1,0
701,0,0,1
704,1,0,0
705,1,0,0
706,0,1,0
707,1,0,0
708,0,0,1
709,0,1,0
710,0,1,0
711,0,0,1
712,0,0,1
713,1,0,0
717,1,0,0
718,1,0,0
719,0,1,0
723,1,0,0
724,1,0,0
725,0,0,1
726,0,0,1
728,0,0,1
729,0,1,0
730,0,1,0
735,1,0,0
736,0,0,1
737,0,0,1
738,0,0,1
739,0,1,0
743,0,1,0
744,1,0,0
746,0,0,1
749,1,0,0
750,0,0,1
751,0,1,0
753,0,0,1
754,0,0,1
756,1,0,0
757,0,1,0
758,0,1,0
759,1,0,0
760,0,0,1
761,0,1,0
762,0,1,0
763,1,0,0
764,0,1,0
765,0,1,0
767,1,0,0
770,0,0,1
771,0,1,0
773,1,0,0
774,1,0,0
775,0,0,1
776,0,1,0
779,1,0,0
781,0,1,0
782,0,0,1
783,0,1,0
785,1,0,0
786,1,0,0
790,0,0,1
791,1,0,0
792,1,0,0
793,0,0,1
798,0,0,1
799,1,0,0
800,1,0,0
801,1,0,0
802,0,0,1
803,0,0,1
804,1,0,0
805,0,0,1
806,0,0,1
807,1,0,0
808,1,0,0
814,0,0,1
815,1,0,0
816,0,0,1
817,0,1,0
819,0,1,0
820,0,0,1
823,1,0,0
824,1,0,0
825,1,0,0
826,1,0,0
828,0,1,0
829,1,0,0
830,1,0,0
832,1,0,0
833,0,1,0
834,1,0,0
835,0,0,1
837,1,0,0
838,0,1,0
842,1,0,0
844,1,0,0
846,0,1,0
847,0,0,1
848,0,0,1
849,1,0,0
851,1,0,0
852,1,0,0
854,0,1,0
857,1,0,0
860,0,0,1
861,0,0,1
862,0,0,1
863,0,0,1
864,0,0,1
865,0,1,0
867,1,0,0
868,1,0,0
872,0,1,0
875,0,1,0
876,1,0,0
877,0,0,1
879,1,0,0
880,0,0,1
882,1,0,0
884,0,1,0
887,1,0,0
889,1,0,0
890,0,1,0
891,1,0,0
894,0,1,0
895,1,0,0
898,1,0,0
899,1,0,0
904,0,1,0
907,0,1,0
908,0,0,1
910,0,1,0
911,1,0,0
913,1,0,0
915,0,1,0
916,1,0,0
919,1,0,0
921,0,0,1
923,1,0,0
925,1,0,0
927,0,1,0
930,0,0,1
931,1,0,0
932,1,0,0
933,0,0,1
934,1,0,0
935,0,0,1
936,1,0,0
937,0,0,1
939,0,0,1
940,1,0,0
941,0,1,0
942,1,0,0
944,1,0,0
945,1,0,0
947,0,1,0
950,1,0,0
951,1,0,0
953,1,0,0
955,1,0,0
956,0,1,0
960,0,0,1
962,1,0,0
963,0,1,0
964,0,0,1
965,0,0,1
966,1,0,0
970,1,0,0
973,1,0,0
974,1,0,0
976,1,0,0
977,0,0,1
979,0,1,0
981,0,1,0
982,1,0,0
983,1,0,0
985,0,0,1
986,0,1,0
987,0,0,1
990,1,0,0
993,0,1,0
994,0,1,0
995,0,0,1
996,1,0,0
997,0,0,1
1000,0,1,0
1001,0,1,0
1004,0,0,1
1007,0,0,1
1008,0,0,1
1009,1,0,0
1010,0,0,1
1011,1,0,0
1012,1,0,0
1013,1,0,0
1016,1,0,0
1017,1,0,0
1018,0,1,0
1021,1,0,0
1023,0,1,0
1024,1,0,0
1025,0,1,0
1026,0,1,0
1027,1,0,0
1029,1,0,0
1032,1,0,0
1033,1,0,0
1034,0,1,0
1036,0,0,1
1037,1,0,0
1038,1,0,0
1039,0,0,1
1041,0,0,1
1042,1,0,0
1043,0,1,0
1045,0,1,0
1049,1,0,0
1052,0,1,0
1053,0,0,1
1055,1,0,0
1056,0,1,0
1057,0,0,1
1058,1,0,0
1059,1,0,0
1060,0,1,0
1061,0,0,1
1062,0,1,0
1063,0,0,1
1066,1,0,0
1067,1,0,0
1068,0,0,1
1073,0,0,1
1074,0,0,1
1075,1,0,0
1076,0,0,1
1078,0,0,1
1081,1,0,0
1082,0,0,1
1083,1,0,0
1084,0,1,0
1088,0,0,1
1089,1,0,0
1091,0,1,0
1092,1,0,0
1093,1,0,0
1095,0,1,0
1096,0,0,1
1099,1,0,0
1100,1,0,0
1106,0,0,1
1109,0,1,0
1113,1,0,0
1114,1,0,0
1119,1,0,0
1121,0,0,1
1122,0,1,0
1123,0,1,0
1124,1,0,0
1125,0,0,1
1127,0,1,0
1128,1,0,0
1129,1,0,0
1130,0,1,0
1133,0,0,1
1135,0,0,1
1138,0,1,0
1139,0,1,0
1140,0,0,1
1141,1,0,0
1145,0,0,1
1146,0,0,1
1147,1,0,0
1149,1,0,0
1150,0,1,0
1151,0,0,1
1153,0,1,0
1155,1,0,0
1156,0,0,1
1157,0,0,1
1158,1,0,0
1160,1,0,0
1161,0,0,1
1163,0,0,1
1167,1,0,0
1168,1,0,0
1169,0,0,1
1170,0,1,0
1173,0,1,0
1174,0,0,1
1175,0,1,0
1176,1,0,0
1178,0,0,1
1179,1,0,0
1180,1,0,0
1181,1,0,0
1182,0,0,1
1183,1,0,0
1185,1,0,0
1186,0,0,1
1187,0,1,0
1188,1,0,0
1189,0,1,0
1190,0,1,0
1191,0,1,0
1192,0,0,1
1195,0,0,1
1198,0,0,1
1199,1,0,0
1200,0,0,1
1201,1,0,0
1202,1,0,0
1204,0,0,1
1206,0,1,0
1208,1,0,0
